climate;region;forest_type;land_use_type;threshold;value
Tropical;Central Africa;Natural;Rainforest;≤ 125;0.825
Tropical;Northern Africa;Natural;Rainforest;≤ 125;0.825
Tropical;Southern Africa;Natural;Rainforest;≤ 125;0.825
Tropical;Western Africa;Natural;Rainforest;≤ 125;0.825
Tropical;Central Asia;Natural;Rainforest;≤ 125;0.207
Tropical;Eastern Asia;Natural;Rainforest;≤ 125;0.207
Tropical;South-Eastern Asia;Natural;Rainforest;≤ 125;0.207
Tropical;Southern Asia;Natural;Rainforest;≤ 125;0.207
Tropical;Western Asia;Natural;Rainforest;≤ 125;0.207
Tropical;Europe;Natural;Rainforest;≤ 125;0.37
Tropical;Oceania;Natural;Rainforest;≤ 125;0.37
Tropical;North America;Natural;Rainforest;≤ 125;0.221
Tropical;South America;Natural;Rainforest;≤ 125;0.221
Tropical;Central America;Natural;Rainforest;≤ 125;0.221
Tropical;Caribbean;Natural;Rainforest;≤ 125;0.221
Tropical;Central Africa;Natural;Moist Deciduous Forest;≤ 125;0.232
Tropical;Northern Africa;Natural;Moist Deciduous Forest;≤ 125;0.232
Tropical;Southern Africa;Natural;Moist Deciduous Forest;≤ 125;0.232
Tropical;Western Africa;Natural;Moist Deciduous Forest;≤ 125;0.232
Tropical;Central Asia;Natural;Moist Deciduous Forest;≤ 125;0.323
Tropical;Eastern Asia;Natural;Moist Deciduous Forest;≤ 125;0.323
Tropical;South-Eastern Asia;Natural;Moist Deciduous Forest;≤ 125;0.323
Tropical;Southern Asia;Natural;Moist Deciduous Forest;≤ 125;0.323
Tropical;Western Asia;Natural;Moist Deciduous Forest;≤ 125;0.323
Tropical;Europe;Natural;Moist Deciduous Forest;≤ 125;0.2
Tropical;Oceania;Natural;Moist Deciduous Forest;≤ 125;0.2
Tropical;North America;Natural;Moist Deciduous Forest;≤ 125;0.284
Tropical;South America;Natural;Moist Deciduous Forest;≤ 125;0.284
Tropical;Central America;Natural;Moist Deciduous Forest;≤ 125;0.284
Tropical;Caribbean;Natural;Moist Deciduous Forest;≤ 125;0.284
Tropical;Central Africa;Natural;Dry Forest;≤ 125;0.332
Tropical;Northern Africa;Natural;Dry Forest;≤ 125;0.332
Tropical;Southern Africa;Natural;Dry Forest;≤ 125;0.332
Tropical;Western Africa;Natural;Dry Forest;≤ 125;0.332
Tropical;Central Asia;Natural;Dry Forest;≤ 125;0.381
Tropical;Eastern Asia;Natural;Dry Forest;≤ 125;0.381
Tropical;South-Eastern Asia;Natural;Dry Forest;≤ 125;0.381
Tropical;Southern Asia;Natural;Dry Forest;≤ 125;0.381
Tropical;Western Asia;Natural;Dry Forest;≤ 125;0.381
Tropical;Europe;Natural;Dry Forest;≤ 125;0.56
Tropical;Oceania;Natural;Dry Forest;≤ 125;0.56
Tropical;North America;Natural;Dry Forest;≤ 125;0.334
Tropical;South America;Natural;Dry Forest;≤ 125;0.334
Tropical;Central America;Natural;Dry Forest;≤ 125;0.334
Tropical;Caribbean;Natural;Dry Forest;≤ 125;0.334
Tropical;Central Africa;Natural;Shrubland;≤ 125;0.4
Tropical;Northern Africa;Natural;Shrubland;≤ 125;0.4
Tropical;Southern Africa;Natural;Shrubland;≤ 125;0.4
Tropical;Western Africa;Natural;Shrubland;≤ 125;0.4
Tropical;Central Asia;Natural;Shrubland;≤ 125;0.322
Tropical;Eastern Asia;Natural;Shrubland;≤ 125;0.322
Tropical;South-Eastern Asia;Natural;Shrubland;≤ 125;0.322
Tropical;Southern Asia;Natural;Shrubland;≤ 125;0.322
Tropical;Western Asia;Natural;Shrubland;≤ 125;0.322
Tropical;Europe;Natural;Shrubland;≤ 125;0.4
Tropical;Oceania;Natural;Shrubland;≤ 125;0.4
Tropical;North America;Natural;Shrubland;≤ 125;0.348
Tropical;South America;Natural;Shrubland;≤ 125;0.348
Tropical;Central America;Natural;Shrubland;≤ 125;0.348
Tropical;Caribbean;Natural;Shrubland;≤ 125;0.348
Tropical;Central Africa;Plantation;Rainforest;≤ 125;0.37
Tropical;Northern Africa;Plantation;Rainforest;≤ 125;0.37
Tropical;Southern Africa;Plantation;Rainforest;≤ 125;0.37
Tropical;Western Africa;Plantation;Rainforest;≤ 125;0.37
Tropical;Central Asia;Plantation;Rainforest;≤ 125;0.325
Tropical;Eastern Asia;Plantation;Rainforest;≤ 125;0.325
Tropical;South-Eastern Asia;Plantation;Rainforest;≤ 125;0.325
Tropical;Southern Asia;Plantation;Rainforest;≤ 125;0.325
Tropical;Western Asia;Plantation;Rainforest;≤ 125;0.325
Tropical;Europe;Plantation;Rainforest;≤ 125;0.37
Tropical;Oceania;Plantation;Rainforest;≤ 125;0.37
Tropical;North America;Plantation;Rainforest;≤ 125;0.17
Tropical;South America;Plantation;Rainforest;≤ 125;0.17
Tropical;Central America;Plantation;Rainforest;≤ 125;0.17
Tropical;Caribbean;Plantation;Rainforest;≤ 125;0.17
Tropical;Central Africa;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Northern Africa;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Southern Africa;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Western Africa;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Central Asia;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Eastern Asia;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;South-Eastern Asia;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Southern Asia;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Western Asia;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Europe;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Oceania;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;North America;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;South America;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Central America;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Caribbean;Plantation;Moist Deciduous Forest;≤ 125;0.2
Tropical;Central Africa;Plantation;Dry Forest;≤ 125;0.56
Tropical;Northern Africa;Plantation;Dry Forest;≤ 125;0.56
Tropical;Southern Africa;Plantation;Dry Forest;≤ 125;0.56
Tropical;Western Africa;Plantation;Dry Forest;≤ 125;0.56
Tropical;Central Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;Eastern Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;South-Eastern Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;Southern Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;Western Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;Europe;Plantation;Dry Forest;≤ 125;0.56
Tropical;Oceania;Plantation;Dry Forest;≤ 125;0.56
Tropical;North America;Plantation;Dry Forest;≤ 125;0.56
Tropical;South America;Plantation;Dry Forest;≤ 125;0.56
Tropical;Central America;Plantation;Dry Forest;≤ 125;0.56
Tropical;Caribbean;Plantation;Dry Forest;≤ 125;0.56
Tropical;Central Africa;Plantation;Shrubland;≤ 125;0.4
Tropical;Northern Africa;Plantation;Shrubland;≤ 125;0.4
Tropical;Southern Africa;Plantation;Shrubland;≤ 125;0.4
Tropical;Western Africa;Plantation;Shrubland;≤ 125;0.4
Tropical;Central Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;Eastern Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;South-Eastern Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;Southern Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;Western Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;Europe;Plantation;Shrubland;≤ 125;0.4
Tropical;Oceania;Plantation;Shrubland;≤ 125;0.4
Tropical;North America;Plantation;Shrubland;≤ 125;2.158
Tropical;South America;Plantation;Shrubland;≤ 125;2.158
Tropical;Central America;Plantation;Shrubland;≤ 125;2.158
Tropical;Caribbean;Plantation;Shrubland;≤ 125;2.158
Warm Temperate;Central Africa;Natural;Humid Forest;≤ 125;0.232
Warm Temperate;Northern Africa;Natural;Humid Forest;≤ 125;0.232
Warm Temperate;Southern Africa;Natural;Humid Forest;≤ 125;0.232
Warm Temperate;Western Africa;Natural;Humid Forest;≤ 125;0.232
Warm Temperate;Central Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;Eastern Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;South-Eastern Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;Southern Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;Western Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;Europe;Natural;Humid Forest;≤ 125;0.2
Warm Temperate;Oceania;Natural;Humid Forest;≤ 125;0.2
Warm Temperate;North America;Natural;Humid Forest;≤ 125;0.175
Warm Temperate;South America;Natural;Humid Forest;≤ 125;0.175
Warm Temperate;Central America;Natural;Humid Forest;≤ 125;0.175
Warm Temperate;Caribbean;Natural;Humid Forest;≤ 125;0.175
Warm Temperate;Central Africa;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Northern Africa;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Southern Africa;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Western Africa;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Central Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;Eastern Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;South-Eastern Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;Southern Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;Western Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;Europe;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Oceania;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;North America;Natural;Dry Forest;≤ 125;0.336
Warm Temperate;South America;Natural;Dry Forest;≤ 125;0.336
Warm Temperate;Central America;Natural;Dry Forest;≤ 125;0.336
Warm Temperate;Caribbean;Natural;Dry Forest;≤ 125;0.336
Warm Temperate;Central Africa;Natural;Steppe;≤ 125;0.32
Warm Temperate;Northern Africa;Natural;Steppe;≤ 125;0.32
Warm Temperate;Southern Africa;Natural;Steppe;≤ 125;0.32
Warm Temperate;Western Africa;Natural;Steppe;≤ 125;0.32
Warm Temperate;Central Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;Eastern Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;South-Eastern Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;Southern Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;Western Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;Europe;Natural;Steppe;≤ 125;0.32
Warm Temperate;Oceania;Natural;Steppe;≤ 125;0.32
Warm Temperate;North America;Natural;Steppe;≤ 125;1.338
Warm Temperate;South America;Natural;Steppe;≤ 125;1.338
Warm Temperate;Central America;Natural;Steppe;≤ 125;1.338
Warm Temperate;Caribbean;Natural;Steppe;≤ 125;1.338
Warm Temperate;Central Africa;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Northern Africa;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Southern Africa;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Western Africa;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Central Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Eastern Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;South-Eastern Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Southern Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Western Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Europe;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Oceania;Natural;Mountain System;≤ 125;0.27
Warm Temperate;North America;Natural;Mountain System;≤ 125;0.27
Warm Temperate;South America;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Central America;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Caribbean;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Central Africa;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Northern Africa;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Southern Africa;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Western Africa;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Central Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Eastern Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;South-Eastern Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Southern Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Western Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Europe;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Oceania;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;North America;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;South America;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Central America;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Caribbean;Plantation;Humid Forest;≤ 125;0.2
