climate;moisture;region;Annual cropland;Set Aside;Flooded rice;Grassland;Other Land (Non-Vegetated);Agroforestry - default;Alley cropping;Perennial fallow;Hedgerow;Multistrata;Parkland;Shaded Perennial;Silvoarable;Silvopasture;Other Land;Olive;Orchard;Short Rotation Coppice;Tea;Vine;Oil palm;Rubber
Cool Temperate;Dry;Eastern Africa;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Central Africa;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Northern Africa;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Southern Africa;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Western Africa;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Central Asia;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Eastern Asia;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;South-eastern Asia;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Southern Asia;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Western Asia;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Europe;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Oceania;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
