input_type;climate;moisture;co2_value;n2o_value;co2_eq_value
Limestone;Tropical;Dry;0,12;;0,586666667
Limestone;Tropical;Wet;0,12;;0,586666667
Limestone;Tropical;Moist;0,12;;0,586666667
Limestone;Tropical Montane;Dry;0,12;;0,586666667
Limestone;Tropical Montane;Wet;0,12;;0,586666667
Limestone;Tropical Montane;Moist;0,12;;0,586666667
Limestone;Boreal;Dry;0,12;;0,586666667
Limestone;Boreal;Wet;0,12;;0,586666667
Limestone;Boreal;Moist;0,12;;0,586666667
Limestone;Cool Temperate;Dry;0,12;;0,586666667
Limestone;Cool Temperate;Wet;0,12;;0,586666667
Limestone;Cool Temperate;Moist;0,12;;0,586666667
Limestone;Warm Temperate;Dry;0,12;;0,586666667
Limestone;Warm Temperate;Wet;0,12;;0,586666667
Limestone;Warm Temperate;Moist;0,12;;0,586666667
Dolomite;Tropical;Dry;0,13;;0,586666667
Dolomite;Tropical;Wet;0,13;;0,586666667
Dolomite;Tropical;Moist;0,13;;0,586666667
Dolomite;Tropical Montane;Dry;0,13;;0,586666667
Dolomite;Tropical Montane;Wet;0,13;;0,586666667
Dolomite;Tropical Montane;Moist;0,13;;0,586666667
Dolomite;Boreal;Dry;0,13;;0,586666667
Dolomite;Boreal;Wet;0,13;;0,586666667
Dolomite;Boreal;Moist;0,13;;0,586666667
Dolomite;Cool Temperate;Dry;0,13;;0,586666667
Dolomite;Cool Temperate;Wet;0,13;;0,586666667
Dolomite;Cool Temperate;Moist;0,13;;0,586666667
Dolomite;Warm Temperate;Dry;0,13;;0,586666667
Dolomite;Warm Temperate;Wet;0,13;;0,586666667
Dolomite;Warm Temperate;Moist;0,13;;0,586666667
Not Specified;Tropical;Dry;0,125;;0,586666667
Not Specified;Tropical;Wet;0,125;;0,586666667
Not Specified;Tropical;Moist;0,125;;0,586666667
Not Specified;Tropical Montane;Dry;0,125;;0,586666667
Not Specified;Tropical Montane;Wet;0,125;;0,586666667
Not Specified;Tropical Montane;Moist;0,125;;0,586666667
Not Specified;Boreal;Dry;0,125;;0,586666667
Not Specified;Boreal;Wet;0,125;;0,586666667
Not Specified;Boreal;Moist;0,125;;0,586666667
Not Specified;Cool Temperate;Dry;0,125;;0,586666667
Not Specified;Cool Temperate;Wet;0,125;;0,586666667
Not Specified;Cool Temperate;Moist;0,125;;0,586666667
Not Specified;Warm Temperate;Dry;0,125;;0,586666667
Not Specified;Warm Temperate;Wet;0,125;;0,586666667
Not Specified;Warm Temperate;Moist;0,125;;0,586666667
Urea;Tropical;Dry;0,2;0,005;4,766666667
Urea;Tropical;Wet;0,2;0,016;4,766666667
Urea;Tropical;Moist;0,2;0,0105;4,766666667
Urea;Tropical Montane;Dry;0,2;0,005;4,766666667
