climate,moisture,Annual cropland,Annual fallow,Flooded rice,Grassland,Other Land (Non-Vegetated),Agroforestry - Default,Alley Cropping,Perennial Fallow,Hedgerow,Multistrata,Parkland,Shaded Perennial,Silvoarable,Silvopasture,Degraded Land,Oil Palm,Rubber,Tea,Olive,Orchard,Short Rotation Coppice,Vine
Boreal,Dry,0.77,0.93,1.35,1,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.385,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Boreal,Moist,0.7,0.82,1.35,1,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.35,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Cool Temperate,Dry,0.77,0.93,1.35,1,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.385,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Cool Temperate,Moist,0.7,0.82,1.35,1,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.35,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Tropical,Dry,0.92,0.93,1.35,1,1,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.46,1.01,1.01,1.01,1.01,1.01,1.01,1.01
Tropical,Moist,0.83,0.82,1.35,1,1,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.415,1.01,1.01,1.01,1.01,1.01,1.01,1.01
Tropical,Wet,0.83,0.82,1.35,1,1,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.415,1.01,1.01,1.01,1.01,1.01,1.01,1.01
Tropical Montane,Dry,0.64,0.88,1.35,1,1,1,1,1,1,1,1,1,1,1,0.32,1,1,1,1,1,1,1
Tropical Montane,Moist,0.64,0.88,1.35,1,1,1,1,1,1,1,1,1,1,1,0.32,1,1,1,1,1,1,1
Tropical Montane,Wet,0.64,0.88,1.35,1,1,1,1,1,1,1,1,1,1,1,0.32,1,1,1,1,1,1,1
Warm Temperate,Dry,0.76,0.93,1.35,1,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.38,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Warm Temperate,Moist,0.69,0.82,1.35,1,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.345,0.72,0.72,0.72,0.72,0.72,0.72,0.72
