please select,Bottom trawls,Gillnets and entangling nets,Hooks and lines,Midwater trawls,Traps and lift nets,Surrounding nets,Dredges,Other or mixed,Mobile seine,Not specified
"Abalones, winkles and conchs",0,2162,0,0,484,0,0,839,0,791
"Clams, cockles and arkshells",0,0,0,0,1430,0,835,430,0,787
"Cods, hakes and haddocks",490,511,702,138,0,512,0,436,0,463
"Flounders, halibuts and soles",2903,502,570,982,0,694,0,1094,0,1822
"Herrings, sardines and anchovies",91,602,0,118,559,68,0,287,146,145
"Jacks, mullets and sauries",492,496,1836,489,0,434,445,497,0,641
"Krill and plankton",0,0,0,121,0,0,0,0,0,121
"Lobsters and spiny-rock lobsters",5200,0,0,1667,3564,0,0,1028,0,3937
"Mackerels, snoeks and cutlassfish",922,0,322,167,0,39,0,106,0,208
"Miscellaneous marine crustaceans",0,0,0,0,0,0,0,2230,0,2230
"Miscellaneous marine fishes",171,0,0,350,0,0,0,1903,0,637
"Miscellaneous marine molluscs",2904,0,0,0,0,0,0,0,0,2904
"Mussels",0,0,0,0,0,0,20,13,0,20
"Redfish, basses and congers",754,304,472,232,921,254,0,912,0,467
"Salmons, trots and smelts",0,886,835,0,0,304,0,0,0,622
"Scallops and pectens",1405,0,0,1787,0,0,577,834,0,697
"Sea-spiders and crabs",0,0,1031,0,1074,0,0,1062,0,1069
"Shads",0,0,0,16,0,0,0,0,0,16
"Sharks and rays",982,661,365,494,153,118,0,253,0,606
"Shrimps and prawns",2550,630,0,3074,0,0,0,1224,0,2569
"Squat lobsters",0,0,0,0,0,0,0,165,0,165
"Squids, cuttlefish and octopuses",313,0,0,406,0,0,0,0,0,325
"Tunas, bonitos and billfishes",0,683,1554,1649,0,433,0,915,0,1295
"Not Specified",1475,744,0,854,0,779,0,1169,0,317
