Countries;GLEAM;EX-ACT;IPCC
American Samoa;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Brunei Darussalam;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Cambodia;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
China;East Asia and South-East Asia;Eastern Asia;East Asia and South-East Asia
China, Hong Kong Special Administrative Region;East Asia and South-East Asia;Eastern Asia;East Asia and South-East Asia
China, Macao Special Administrative Region;East Asia and South-East Asia;Eastern Asia;East Asia and South-East Asia
Christmas Island;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Cocos (Keeling) Islands;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Cook Islands;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Democratic People's Republic of Korea;East Asia and South-East Asia;Eastern Asia;East Asia and South-East Asia
Fiji;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
French Polynesia;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Guam;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Heard Island and McDonald Islands;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Indonesia;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Japan;East Asia and South-East Asia;Eastern Asia;East Asia and South-East Asia
Kiribati;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Lao People's Democratic Republic;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Malaysia;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Marshall Islands;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Micronesia (Federated States of);East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Mongolia;East Asia and South-East Asia;Eastern Asia;East Asia and South-East Asia
Myanmar;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Nauru;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
New Caledonia;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Niue;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Norfolk Island;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Northern Mariana Islands;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Palau;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Papua New Guinea;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Philippines;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Republic of Korea;East Asia and South-East Asia;Eastern Asia;East Asia and South-East Asia
Samoa;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Singapore;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Solomon Islands;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Thailand;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Timor-Leste;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Tokelau;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Tonga;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Tuvalu;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
United States Minor Outlying Islands;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Vanuatu;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Viet Nam;East Asia and South-East Asia;South-eastern Asia;East Asia and South-East Asia
Wallis and Futuna Islands;East Asia and South-East Asia;Oceania;East Asia and South-East Asia
Belarus;Eastern Europe;Europe;Eastern Europe
Bulgaria;Eastern Europe;Europe;Eastern Europe
Czechia;Eastern Europe;Europe;Eastern Europe
Hungary;Eastern Europe;Europe;Eastern Europe
Poland;Eastern Europe;Europe;Eastern Europe
Republic of Moldova;Eastern Europe;Europe;Eastern Europe
Romania;Eastern Europe;Europe;Eastern Europe
Slovakia;Eastern Europe;Europe;Eastern Europe
Ukraine;Eastern Europe;Europe;Eastern Europe
Anguilla;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Antigua and Barbuda;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Argentina;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Aruba;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Bahamas;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Barbados;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Belize;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Bolivia;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Bonaire, Sint Eustatius and Saba;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Bouvet Island;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Brazil;Latin America and the Caribbean;South America;Latin America and the Caribbean
British Virgin Islands;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Cayman Islands;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Chile;Latin America and the Caribbean;South America;Latin America and the Caribbean
Colombia;Latin America and the Caribbean;South America;Latin America and the Caribbean
Costa Rica;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Cuba;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Curaçao;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Dominica;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Dominican Republic;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Ecuador;Latin America and the Caribbean;South America;Latin America and the Caribbean
El Salvador;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Falkland Islands (Malvinas);Latin America and the Caribbean;South America;Latin America and the Caribbean
French Guiana;Latin America and the Caribbean;South America;Latin America and the Caribbean
Grenada;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Guadeloupe;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Guatemala;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Guyana;Latin America and the Caribbean;South America;Latin America and the Caribbean
Haiti;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Honduras;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Jamaica;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Martinique;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Mexico;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Montserrat;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Nicaragua;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Panama;Latin America and the Caribbean;Central America;Latin America and the Caribbean
Paraguay;Latin America and the Caribbean;South America;Latin America and the Caribbean
Peru;Latin America and the Caribbean;South America;Latin America and the Caribbean
Puerto Rico;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Saint Barthélemy;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Saint Kitts and Nevis;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Saint Lucia;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Saint Martin (French Part);Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Saint Vincent and the Grenadines;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Sint Maarten (Dutch part);Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
South Georgia and the South Sandwich Islands;Latin America and the Caribbean;South America;Latin America and the Caribbean
Suriname;Latin America and the Caribbean;South America;Latin America and the Caribbean
Trinidad and Tobago;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Turks and Caicos Islands;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
United States Virgin Islands;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean
Uruguay;Latin America and the Caribbean;South America;Latin America and the Caribbean
Venezuela;Latin America and the Caribbean;South America;Latin America and the Caribbean
Algeria;NENA;Northern Africa;NENA/Middle East
Armenia;NENA;Western Asia;NENA/Middle East
Azerbaijan;NENA;Western Asia;NENA/Middle East
Bahrain;NENA;Western Asia;NENA/Middle East
Cyprus;NENA;Western Asia;NENA/Middle East
Egypt;NENA;Northern Africa;NENA/Middle East
Georgia;NENA;Western Asia;NENA/Middle East
Iraq;NENA;Western Asia;NENA/Middle East
Israel;NENA;Western Asia;NENA/Middle East
Jordan;NENA;Western Asia;NENA/Middle East
Kazakhstan;NENA;Central Asia;NENA/Middle East
Kuwait;NENA;Western Asia;NENA/Middle East
Kyrgyzstan;NENA;Central Asia;NENA/Middle East
