climate;forest_type;land_use_type;litter;deadwood
Tropical;Natural;Rainforest;4.8;14.8
Tropical;Natural;Moist Deciduous Forest;5.9;8
Tropical;Natural;Dry Forest;2.4;9
Tropical;Natural;Shrubland;0;0
Warm Temperate;Natural;Humid Forest;8.7;13.2
Warm Temperate;Natural;Dry Forest;0;64.4
Warm Temperate;Natural;Steppe;0;6.8
Warm Temperate;Natural;Mountain System;0;11.8
Cool Temperate;Natural;Oceanic Forest;2.9;36.8
Cool Temperate;Natural;Continental Forest;47.8;23
Cool Temperate;Natural;Mountain System;3.7;37.6
Cool Temperate;Natural;Desert;0;10.5
Cool Temperate;Natural;Steppe;28.7;21.7
Boreal;Natural;Coniferous Forest;31.4;19.7
Boreal;Natural;Tundra Woodland;49.5;3.1
Boreal;Natural;Mountain System;0;0
Tropical;Natural;Mountain System;0;3.3
Tropical;Plantation;Rainforest;4.8;14.8
Tropical;Plantation;Moist Deciduous Forest;5.9;8
Tropical;Plantation;Dry Forest;2.4;9
Tropical;Plantation;Shrubland;0;0
Warm Temperate;Plantation;Humid Forest;8.7;13.2
Warm Temperate;Plantation;Dry Forest;0;64.4
Warm Temperate;Plantation;Steppe;0;6.8
Warm Temperate;Plantation;Mountain System;0;11.8
Cool Temperate;Plantation;Oceanic Forest;2.9;36.8
Cool Temperate;Plantation;Continental Forest;47.8;23
Cool Temperate;Plantation;Mountain System;3.7;37.6
Cool Temperate;Plantation;Desert;0;10.5
Cool Temperate;Plantation;Steppe;28.7;21.7
Boreal;Plantation;Coniferous Forest;31.4;19.7
Boreal;Plantation;Tundra Woodland;49.5;3.1
Boreal;Plantation;Mountain System;0;0
Boreal;Plantation;Mountain System;0;3.3
Tropical;Natural;Mangrove Forest;0.7;10.7
Warm Temperate;Natural;Mangrove Forest;0.7;10.7
Cool Temperate;Natural;Mangrove Forest;0.7;10.7
Boreal;Natural;Mangrove Forest;0.7;10.7
Tropical Montane;Natural;Mountain System;0;3,3
Tropical Montane;Plantation;Mountain System;0;3,3
