emission_type;livestock_category;climate;moisture;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1 month;Poultry manure;Deep bedding;Composting;Aerobic treatment
N2O;Cattle;Cool Temperate;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Cool Temperate;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Boreal;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Boreal;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Warm Temperate;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Warm Temperate;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Tropical;Montane;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Tropical;Wet;0;0,003333333;0,0075;0,02;0,006;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Tropical;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Cattle;Tropical;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Cool Temperate;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Cool Temperate;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Boreal;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Boreal;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Warm Temperate;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Warm Temperate;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Tropical;Montane;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Tropical;Wet;0;0,003333333;0,0075;0,02;0,006;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Tropical;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Poultry;Tropical;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Cool Temperate;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Cool Temperate;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Boreal;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Boreal;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Warm Temperate;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Warm Temperate;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Tropical;Montane;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Tropical;Wet;0;0,003333333;0,0075;0,02;0,006;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Tropical;Moist;0;0,003333333;0,0075;0,02;0,004;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Pigs;Tropical;Dry;0;0,003333333;0,0075;0,02;0,002;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,0075
N2O;Sheep;Cool Temperate;Moist;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Cool Temperate;Dry;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Boreal;Moist;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Boreal;Dry;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Warm Temperate;Moist;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Warm Temperate;Dry;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Tropical;Montane;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Tropical;Wet;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Tropical;Moist;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Sheep;Tropical;Dry;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Cool Temperate;Moist;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Cool Temperate;Dry;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Boreal;Moist;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Boreal;Dry;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Warm Temperate;Moist;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Warm Temperate;Dry;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Tropical;Montane;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Tropical;Wet;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Tropical;Moist;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
N2O;Others;Tropical;Dry;0;0,003333333;0,01;0,02;0,003;0;0,0006;;0,002;0,002;0,001;0,04;0,0065;0,03
CH4;Swine LP;Cool Temperate;Moist;116,6;40,8;3,9;1,9;0,6;0,2;20,6;19,4;11,7;40,8;0;0;0;0
CH4;Swine LP;Cool Temperate;Dry;130,2;50,5;3,9;1,9;0,6;0,2;20,6;19,4;15,5;50,5;0;0;0;0
CH4;Swine LP;Boreal;Moist;97,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Swine LP;Boreal;Dry;95,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Swine LP;Warm Temperate;Moist;141,8;71,9;7,8;2,9;0,6;1;21,1;19,4;25,3;71,9;0;0;0;0
CH4;Swine LP;Warm Temperate;Dry;147,7;79,7;7,8;2,9;0,6;1;21,1;19,4;29,1;79,7;0;0;0;0
CH4;Swine LP;Tropical;Montane;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
