livestock_category_type;livestock_production_type;emission_type;climate;moisture;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1 month;Poultry manure;Deep bedding;Composting;Aerobic treatment;Other (pls. go Tier 2)
Mules And Asses;High-Productivity;CH4;Cool Temperate;Moist;0;0;4,4;2,2;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Cool Temperate;Dry;0;0;4,4;2,2;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Boreal;Moist;0;0;4,4;2,2;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Boreal;Dry;0;0;4,4;2,2;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Warm Temperate;Moist;0;0;8,8;3,3;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Warm Temperate;Dry;0;0;8,8;3,3;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Tropical Montane;Dry;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Tropical Montane;Moist;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Tropical;Wet;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Tropical;Moist;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;CH4;Tropical;Dry;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Cool Temperate;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Cool Temperate;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Boreal;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Boreal;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Warm Temperate;Moist;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Warm Temperate;Dry;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Tropical Montane;Dry;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Tropical Montane;Moist;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Tropical;Wet;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Tropical;Moist;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;CH4;Tropical;Dry;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Cool Temperate;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Cool Temperate;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Boreal;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Boreal;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Warm Temperate;Moist;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Warm Temperate;Dry;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Tropical Montane;Dry;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Tropical Montane;Moist;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Tropical;Wet;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Tropical;Moist;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;CH4;Tropical;Dry;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0;
