emission_type;climate;moisture;livestock_category_type;livestock_production_type;Lagoon;Liquid/Slurry;Solid Storage;Dry Lot;Pasture/Range/Paddock;Daily Spread;Digester;Burned For Fuel;Pit<1Month;Pit>1Month;Poultry Manure;Deep Bedding;Composting;Aerobic Treatment
CH4;Cool Temperate;Moist;Dairy Cattle;High-Productivity;96,5;33,8;3,2;1,6;0,6;0,2;3,2;16,1;0;33,8;0;0;0;0
CH4;Cool Temperate;Dry;Dairy Cattle;High-Productivity;107,07;41,8;3,2;1,6;0,6;0,2;3,2;16,1;0;41,8;0;0;0;0
CH4;Boreal;Moist;Dairy Cattle;High-Productivity;80,4;22,5;3,2;1,6;0,6;0,2;3,2;16,1;0;22,5;0;0;0;0
CH4;Boreal;Dry;Dairy Cattle;High-Productivity;78,8;22,5;3,2;1,6;0,6;0,2;3,2;16,1;0;22,5;0;0;0;0
CH4;Warm Temperate;Moist;Dairy Cattle;High-Productivity;117,4;59,5;6,4;2,4;0,6;0,8;3,7;16,1;0;59,5;0;0;0;0
CH4;Warm Temperate;Dry;Dairy Cattle;High-Productivity;122,2;65,9;6,4;2,4;0,6;0,8;3,7;16,1;0;65,9;0;0;0;0
CH4;Tropical Montane;Dry;Dairy Cattle;High-Productivity;122,2;94,9;8;3,2;0,6;1,6;3,7;16,1;0;94,9;0;0;0;0
CH4;Tropical;Wet;Dairy Cattle;High-Productivity;128,6;122,2;8;3,2;0,6;1,6;3,7;16,1;0;122,2;0;0;0;0
CH4;Tropical;Moist;Dairy Cattle;High-Productivity;128,6;117,4;8;3,2;0,6;1,6;3,7;16,1;0;117,4;0;0;0;0
CH4;Tropical;Dry;Dairy Cattle;High-Productivity;128,6;119;8;3,2;0,6;1,6;3,7;16,1;0;119;0;0;0;0
CH4;Cool Temperate;Moist;Dairy Cattle;Low-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
CH4;Cool Temperate;Dry;Dairy Cattle;Low-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
CH4;Boreal;Moist;Dairy Cattle;Low-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Boreal;Dry;Dairy Cattle;Low-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Warm Temperate;Moist;Dairy Cattle;Low-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
CH4;Warm Temperate;Dry;Dairy Cattle;Low-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
CH4;Tropical Montane;Dry;Dairy Cattle;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
CH4;Tropical;Wet;Dairy Cattle;Low-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
CH4;Tropical;Moist;Dairy Cattle;Low-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
