ipcc_region;livestock_production_type;Dairy cattle;Other cattle;Dairy buffalo;Other buffalo;Dairy sheep;Other sheep;Growing swine;Breeding swine;Goats;Horses;Camels;Mules and Asses;Deer;Ostrich;Chicken layer;Chicken broiler;Llamas and Alpacas
Sub-Saharan Africa;Default;0,44;0,44;0,41;0,41;0,32;0,32;0,49;0,29;0,34;0,46;0,46;0,46;0,67;0,34;1,29;1,4;0
East Asia and South-East Asia;Default;0,44;0,38;0,44;0,44;0,32;0,32;0,7;0,37;0,34;0,46;0,46;0,46;0,67;0,34;1,1;1,35;0
North America;Default;0,6;0,4;0;0;0,35;0,35;0,46;0,24;0,46;0,3;0,38;0,3;0,67;0,34;1,45;1,59;0
Latin America and the Caribbean;Default;0,39;0,31;0,41;0,41;0,32;0,32;0,73;0,35;0,34;0,46;0,46;0,46;0,67;0,34;1,2;1,23;0
Western Europe;Default;0,5;0,42;0,45;0,45;0,36;0,36;0,76;0,38;0,46;0,26;0,38;0,26;0,67;0,34;0,99;1,14;0
Eastern Europe;Default;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;0
Russian Federation;Default;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;0
Oceania;Default;0,72;0,46;0;0;0,43;0,43;0,72;0,31;0,42;0,3;0,38;0,3;0,67;0,34;1,42;1,59;0
NENA/Middle East;Default;0,5;0,55;0,39;0,39;0,32;0,32;0,73;0,4;0,34;0,46;0,46;0,46;0,67;0,34;1,29;1,43;0
South Asia;Default;0,65;0,44;0,57;0,57;0,32;0,32;0,76;0,43;0,34;0,46;0,46;0,46;0,67;0,34;1,62;1,58;0
Sub-Saharan Africa;Low-Productivity;0,45;0,45;0,41;0,41;0,32;0,32;0,54;0,35;0,34;0,46;0,46;0,46;0,67;0,34;1,44;1,58;0
East Asia and South-East Asia;Low-Productivity;0,41;0,38;0,44;0,44;0,32;0,32;0,76;0,43;0,34;0,46;0,46;0,46;0,67;0,34;1,62;1,84;0
North America;Low-Productivity;0,6;0,4;0;0;0,35;0,35;0,46;0,24;0,46;0,3;0,38;0,3;0,67;0,34;1,45;1,59;0
Latin America and the Caribbean;Low-Productivity;0,28;0,29;0,41;0,41;0,32;0,32;0,8;0,43;0,34;0,46;0,46;0,46;0,67;0,34;2,14;2,39;0
Western Europe;Low-Productivity;0,5;0,42;0,45;0,45;0,36;0,36;0,76;0,38;0,46;0,26;0,38;0,26;0,67;0,34;0,99;1,14;0
Eastern Europe;Low-Productivity;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;0
Russian Federation;Low-Productivity;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;0
Oceania;Low-Productivity;0,72;0,46;0;0;0,43;0,43;0,72;0,31;0,42;0,3;0,38;0,3;0,67;0,34;1,42;1,59;0
NENA/Middle East;Low-Productivity;0,51;0,58;0,39;0,39;0,32;0,32;0,6;0,37;0,34;0,46;0,46;0,46;0,67;0,34;1,79;1,95;0
South Asia;Low-Productivity;0,7;0,4;0,57;0,57;0,32;0,32;0,76;0,47;0,34;0,46;0,46;0,46;0,67;0,34;1,83;2,11;0
Sub-Saharan Africa;High-Productivity;0,41;0,42;0,41;0,41;0,32;0,32;0,39;0,21;0,34;0,46;0,46;0,46;0,67;0,34;1,16;1,34;
East Asia and South-East Asia;High-Productivity;0,55;0,36;0,44;0,44;0,32;0,32;0,63;0,32;0,34;0,46;0,46;0,46;0,67;0,34;1;1,31;
North America;High-Productivity;0,6;0,4;0;0;0,35;0,35;0,46;0,24;0,46;0,3;0,38;0,3;0,67;0,34;1,45;1,59;
Latin America and the Caribbean;High-Productivity;0,6;0,36;0,41;0,41;0,32;0,32;0,69;0,32;0,34;0,46;0,46;0,46;0,67;0,34;1,13;1,21;
Western Europe;High-Productivity;0,5;0,42;0,45;0,45;0,36;0,36;0,76;0,38;0,46;0,26;0,38;0,26;0,67;0,34;0,99;1,14;
Eastern Europe;High-Productivity;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;
Russian Federation;High-Productivity;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;
Oceania;High-Productivity;0,72;0,46;0;0;0,43;0,43;0,72;0,31;0,42;0,3;0,38;0,3;0,67;0,34;1,42;1,59;
NENA/Middle East;High-Productivity;0,49;0,51;0,39;0,39;0,32;0,32;0,75;0,41;0,34;0,46;0,46;0,46;0,67;0,34;1,27;1,42;
South Asia;High-Productivity;0,51;0,63;0,57;0,57;0,32;0,32;0,74;0,37;0,34;0,46;0,46;0,46;0,67;0,34;1,48;1,47;
