ipcc_region;livestock_production_type;Dairy cattle;Other cattle;Dairy buffalo;Other buffalo;Dairy sheep;Other Sheep;Growing swine;Breeding swine;Goats;Horses;Camels;Mules and Asses;Deer;Ostrich;Chicken layer;Chicken broiler;Llamas and Alpacas
Sub-Saharan Africa;High-Productivity;86;60;81;81;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
East Asia and South-East Asia;High-Productivity;96;43;76;76;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
North America;High-Productivity;138;64;0;0;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
Latin America and the Caribbean;High-Productivity;103;55;68;68;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
Western Europe;High-Productivity;126;52;78;78;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
Eastern Europe;High-Productivity;93;58;68;68;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
Russian Federation;High-Productivity;93;58;68;68;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
Oceania;High-Productivity;93;63;0;0;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
NENA/Middle East;High-Productivity;94;61;67;67;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
South Asia;High-Productivity;70;41;85;85;9;9;1,5;1,5;9;18;46;10;20;5;0,00004868;0,00004868;8
Sub-Saharan Africa;Low-Productivity;66;48;81;81;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
East Asia and South-East Asia;Low-Productivity;71;56;76;76;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
North America;Low-Productivity;138;64;0;0;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Latin America and the Caribbean;Low-Productivity;78;58;68;68;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Western Europe;Low-Productivity;126;52;78;78;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Eastern Europe;Low-Productivity;93;58;68;68;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Russian Federation;Low-Productivity;93;58;68;68;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Oceania;Low-Productivity;93;63;0;0;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
NENA/Middle East;Low-Productivity;62;55;67;67;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
South Asia;Low-Productivity;74;47;85;85;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Sub-Saharan Africa;Default;76;52;81;81;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
East Asia and South-East Asia;Default;78;54;76;76;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
North America;Default;138;64;0;0;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Latin America and the Caribbean;Default;87;56;68;68;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Western Europe;Default;126;52;78;78;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Eastern Europe;Default;93;58;68;68;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Russian Federation;Default;93;58;68;68;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
Oceania;Default;93;63;0;0;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
NENA/Middle East;Default;76;60;67;67;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
South Asia;Default;73;46;85;85;5;5;1;1;5;18;46;10;20;5;0,00004868;0,00004868;8
