climate;moisture;emission_type;livestock_category_type;livestock_production_type;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1Month;Poultry manure;Deep bedding;Composting;Aerobic treatment
Cool Temperate;Moist;CH4;Dairy Cattle;High-Productivity;96,5;33,8;3,2;1,6;0,6;0,2;3,2;16,1;0;33,8;0;0;0;0
Cool Temperate;Dry;CH4;Dairy Cattle;High-Productivity;107,07;41,8;3,2;1,6;0,6;0,2;3,2;16,1;0;41,8;0;0;0;0
Boreal;Moist;CH4;Dairy Cattle;High-Productivity;80,4;22,5;3,2;1,6;0,6;0,2;3,2;16,1;0;22,5;0;0;0;0
Boreal;Dry;CH4;Dairy Cattle;High-Productivity;78,8;22,5;3,2;1,6;0,6;0,2;3,2;16,1;0;22,5;0;0;0;0
Warm Temperate;Moist;CH4;Dairy Cattle;High-Productivity;117,4;59,5;6,4;2,4;0,6;0,8;3,7;16,1;0;59,5;0;0;0;0
Warm Temperate;Dry;CH4;Dairy Cattle;High-Productivity;122,2;65,9;6,4;2,4;0,6;0,8;3,7;16,1;0;65,9;0;0;0;0
Tropical Montane;Dry;CH4;Dairy Cattle;High-Productivity;122,2;94,9;8;3,2;0,6;1,6;3,7;16,1;0;94,9;0;0;0;0
Tropical Montane;Moist;CH4;Dairy Cattle;High-Productivity;122,2;94,9;8;3,2;0,6;1,6;3,7;16,1;0;94,9;0;0;0;0
Tropical Montane;Wet;CH4;Dairy Cattle;High-Productivity;122,2;94,9;8;3,2;0,6;1,6;3,7;16,1;0;94,9;0;0;0;0
Tropical;Wet;CH4;Dairy Cattle;High-Productivity;128,6;122,2;8;3,2;0,6;1,6;3,7;16,1;0;122,2;0;0;0;0
Tropical;Moist;CH4;Dairy Cattle;High-Productivity;128,6;117,4;8;3,2;0,6;1,6;3,7;16,1;0;117,4;0;0;0;0
Tropical;Dry;CH4;Dairy Cattle;High-Productivity;128,6;119;8;3,2;0,6;1,6;3,7;16,1;0;119;0;0;0;0
Cool Temperate;Moist;CH4;Dairy Cattle;Low-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Dairy Cattle;Low-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Dairy Cattle;Low-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Dairy Cattle;Low-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Dairy Cattle;Low-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Dairy Cattle;Low-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Dairy Cattle;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Dairy Cattle;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Dairy Cattle;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Dairy Cattle;Low-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Dairy Cattle;Low-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Dairy Cattle;Low-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Dairy Cattle;Default;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Dairy Cattle;Default;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Dairy Cattle;Default;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Dairy Cattle;Default;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Dairy Cattle;Default;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Dairy Cattle;Default;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Dairy Cattle;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Dairy Cattle;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Dairy Cattle;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Dairy Cattle;Default;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Dairy Cattle;Default;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Dairy Cattle;Default;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Other Cattle;High-Productivity;72,4;25,3;2,4;1,2;0,6;0,1;2,4;12,1;0;25,3;0;0;0;0
Cool Temperate;Dry;CH4;Other Cattle;High-Productivity;80,8;31,4;2,4;1,2;0,6;0,1;2,4;12,1;0;31,4;0;0;0;0
Boreal;Moist;CH4;Other Cattle;High-Productivity;60,3;16,9;2,4;1,2;0,6;0,1;2,4;12,1;0;16,9;0;0;0;0
Boreal;Dry;CH4;Other Cattle;High-Productivity;59,1;16,9;2,4;1,2;0,6;0,1;2,4;12,1;0;16,9;0;0;0;0
Warm Temperate;Moist;CH4;Other Cattle;High-Productivity;88;44,6;4,8;1,8;0,6;0,6;2,7;12,1;0;44,6;0;0;0;0
Warm Temperate;Dry;CH4;Other Cattle;High-Productivity;91,7;49,4;4,8;1,8;0,6;0,6;2,7;12,1;0;49,4;0;0;0;0
Tropical Montane;Dry;CH4;Other Cattle;High-Productivity;91,7;71,2;6;2,4;0,6;1,2;2,8;12,1;0;71,2;0;0;0;0
Tropical Montane;Moist;CH4;Other Cattle;High-Productivity;91,7;71,2;6;2,4;0,6;1,2;2,8;12,1;0;71,2;0;0;0;0
Tropical Montane;Wet;CH4;Other Cattle;High-Productivity;91,7;71,2;6;2,4;0,6;1,2;2,8;12,1;0;71,2;0;0;0;0
Tropical;Wet;CH4;Other Cattle;High-Productivity;96,5;91,7;6;2,4;0,6;1,2;2,8;12,1;0;91,7;0;0;0;0
Tropical;Moist;CH4;Other Cattle;High-Productivity;96,5;88;6;2,4;0,6;1,2;2,8;12,1;0;88;0;0;0;0
Tropical;Dry;CH4;Other Cattle;High-Productivity;96,5;89,2;6;2,4;0,6;1,2;2,8;12,1;0;89,2;0;0;0;0
Cool Temperate;Moist;CH4;Other Cattle;Low-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Other Cattle;Low-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Other Cattle;Low-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Other Cattle;Low-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Other Cattle;Low-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Other Cattle;Low-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Other Cattle;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Other Cattle;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Other Cattle;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Other Cattle;Low-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Other Cattle;Low-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Other Cattle;Low-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Other Cattle;Default;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Other Cattle;Default;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Other Cattle;Default;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Other Cattle;Default;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Other Cattle;Default;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Other Cattle;Default;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Other Cattle;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Other Cattle;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Other Cattle;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Other Cattle;Default;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Other Cattle;Default;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Other Cattle;Default;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Dairy Buffalo;High-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Dairy Buffalo;High-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Dairy Buffalo;High-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Dairy Buffalo;High-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Dairy Buffalo;High-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Dairy Buffalo;High-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Dairy Buffalo;High-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Dairy Buffalo;High-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Dairy Buffalo;High-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Dairy Buffalo;High-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Dairy Buffalo;High-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Dairy Buffalo;High-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Dairy Buffalo;Low-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Dairy Buffalo;Low-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Dairy Buffalo;Low-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Dairy Buffalo;Low-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Dairy Buffalo;Low-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Dairy Buffalo;Low-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Dairy Buffalo;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Dairy Buffalo;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Dairy Buffalo;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Dairy Buffalo;Low-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Dairy Buffalo;Low-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Dairy Buffalo;Low-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Dairy Buffalo;Default;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Dairy Buffalo;Default;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Dairy Buffalo;Default;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Dairy Buffalo;Default;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Dairy Buffalo;Default;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Dairy Buffalo;Default;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Dairy Buffalo;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Dairy Buffalo;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Dairy Buffalo;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Dairy Buffalo;Default;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Dairy Buffalo;Default;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
