livestock_production_type;ipcc_region;Dairy Cattle;Other Cattle;Dairy Buffalo;Other Buffalo;Dairy Sheep;Other sheep;Growing Swine;Breeding Swine;Goats;Horses;Camels;Mules and Asses;Deer;Ostrich;Chicken layer;Chicken broiler;Llamas and Alpacas
Default;Sub-Saharan Africa;0,44;0,44;0,41;0,41;0,32;0,32;0,49;0,29;0,34;0,46;0,46;0,46;0,67;0,34;1,29;1,4;
Default;East Asia and South-East Asia;0,44;0,38;0,44;0,44;0,32;0,32;0,7;0,37;0,34;0,46;0,46;0,46;0,67;0,34;1,1;1,35;
Default;North America;0,6;0,4;0;0;0,35;0,35;0,46;0,24;0,46;0,3;0,38;0,3;0,67;0,34;1,45;1,59;
Default;Latin America and the Caribbean;0,39;0,31;0,41;0,41;0,32;0,32;0,73;0,35;0,34;0,46;0,46;0,46;0,67;0,34;1,2;1,23;
Default;Western Europe;0,5;0,42;0,45;0,45;0,36;0,36;0,76;0,38;0,46;0,26;0,38;0,26;0,67;0,34;0,99;1,14;
Default;Eastern Europe;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;
Default;Russian Federation;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;
Default;Oceania;0,72;0,46;0;0;0,43;0,43;0,72;0,31;0,42;0,3;0,38;0,3;0,67;0,34;1,42;1,59;
Default;NENA/Middle East;0,5;0,55;0,39;0,39;0,32;0,32;0,73;0,4;0,34;0,46;0,46;0,46;0,67;0,34;1,29;1,43;
Default;South Asia;0,65;0,44;0,57;0,57;0,32;0,32;0,76;0,43;0,34;0,46;0,46;0,46;0,67;0,34;1,62;1,58;
Low-Productivity;Sub-Saharan Africa;0,45;0,45;0,41;0,41;0,32;0,32;0,54;0,35;0,34;0,46;0,46;0,46;0,67;0,34;1,44;1,58;
Low-Productivity;East Asia and South-East Asia;0,41;0,38;0,44;0,44;0,32;0,32;0,76;0,43;0,34;0,46;0,46;0,46;0,67;0,34;1,62;1,84;
Low-Productivity;North America;0,6;0,4;0;0;0,35;0,35;0,46;0,24;0,46;0,3;0,38;0,3;0,67;0,34;1,45;1,59;
Low-Productivity;Latin America and the Caribbean;0,28;0,29;0,41;0,41;0,32;0,32;0,8;0,43;0,34;0,46;0,46;0,46;0,67;0,34;2,14;2,39;
Low-Productivity;Western Europe;0,5;0,42;0,45;0,45;0,36;0,36;0,76;0,38;0,46;0,26;0,38;0,26;0,67;0,34;0,99;1,14;
Low-Productivity;Eastern Europe;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;
Low-Productivity;Russian Federation;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;
Low-Productivity;Oceania;0,72;0,46;0;0;0,43;0,43;0,72;0,31;0,42;0,3;0,38;0,3;0,67;0,34;1,42;1,59;
Low-Productivity;NENA/Middle East;0,51;0,58;0,39;0,39;0,32;0,32;0,6;0,37;0,34;0,46;0,46;0,46;0,67;0,34;1,79;1,95;
Low-Productivity;South Asia;0,7;0,4;0,57;0,57;0,32;0,32;0,76;0,47;0,34;0,46;0,46;0,46;0,67;0,34;1,83;2,11;
High-Productivity;Sub-Saharan Africa;0,41;0,42;0,41;0,41;0,32;0,32;0,39;0,21;0,34;0,46;0,46;0,46;0,67;0,34;1,16;1,34;
High-Productivity;East Asia and South-East Asia;0,55;0,36;0,44;0,44;0,32;0,32;0,63;0,32;0,34;0,46;0,46;0,46;0,67;0,34;1;1,31;
High-Productivity;North America;0,6;0,4;0;0;0,35;0,35;0,46;0,24;0,46;0,3;0,38;0,3;0,67;0,34;1,45;1,59;
High-Productivity;Latin America and the Caribbean;0,6;0,36;0,41;0,41;0,32;0,32;0,69;0,32;0,34;0,46;0,46;0,46;0,67;0,34;1,13;1,21;
High-Productivity;Western Europe;0,5;0,42;0,45;0,45;0,36;0,36;0,76;0,38;0,46;0,26;0,38;0,26;0,67;0,34;0,99;1,14;
High-Productivity;Eastern Europe;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;
High-Productivity;Russian Federation;0,42;0,47;0,35;0,35;0,36;0,36;0,77;0,36;0,44;0,3;0,38;0,3;0,67;0,34;0,96;1,12;
High-Productivity;Oceania;0,72;0,46;0;0;0,43;0,43;0,72;0,31;0,42;0,3;0,38;0,3;0,67;0,34;1,42;1,59;
High-Productivity;NENA/Middle East;0,49;0,51;0,39;0,39;0,32;0,32;0,75;0,41;0,34;0,46;0,46;0,46;0,67;0,34;1,27;1,42;
High-Productivity;South Asia;0,51;0,63;0,57;0,57;0,32;0,32;0,74;0,37;0,34;0,46;0,46;0,46;0,67;0,34;1,48;1,47;
