livestock_production_type;ipcc_region;Dairy Cattle;Other Cattle;Dairy Buffalo;Other Buffalo;Dairy Sheep;Other sheep;Growing Swine;Breeding Swine;Goats;Horses;Camels;Mules and Asses;Deer;Ostrich;Chicken layer;Chicken broiler;Llamas and Alpacas
High-Productivity;Sub-Saharan Africa;21,7;10,2;12,9;12,9;8,3;8,3;5,3;2,4;10,4;7,2;11,5;7,2;;;12,3;16;
High-Productivity;East Asia and South-East Asia;8,1;6,8;13,5;13,5;8,3;8,3;5,1;2,3;10,4;7,2;11,5;7,2;;;10,6;15,6;
High-Productivity;North America;9,3;7,6;0;0;8,2;8,2;3,9;1,8;9;5,65;11,5;7,2;;;14,5;16,8;
High-Productivity;Latin America and the Caribbean;9;8,1;11,2;11,2;8,3;8,3;4,3;1,7;10,4;7,2;11,5;7,2;;;13,3;15,5;
High-Productivity;Western Europe;7,5;5,7;7,7;7,7;8,2;8,2;5,3;2,4;9;5,65;11,5;7,2;;;12,3;16,1;
High-Productivity;Eastern Europe;6,7;7,6;6,2;6,2;8,2;8,2;4,9;2;9;5,65;11,5;7,2;;;12,6;16;
High-Productivity;Russian Federation;6,7;7,6;6,2;6,2;8,2;8,2;4,9;2;9;5,65;11,5;7,2;;;12,6;16;
High-Productivity;Oceania;6;8,7;0;0;8,2;8,2;5,6;2,1;9;5,65;11,5;7,2;;;15,4;18,3;
High-Productivity;NENA/Middle East;8,4;10,5;9,8;9,8;8,3;8,3;4,4;2,3;10,4;7,2;11,5;7,2;;;14,1;17,7;
High-Productivity;South Asia;9,1;13,5;0;0;8,3;8,3;6,5;3;10,4;7,2;11,5;7,2;;;14,3;17,6;
Low-Productivity;Sub-Saharan Africa;15,2;12,7;12,9;12,9;8,3;8,3;9,4;6;10,4;7,2;11,5;7,2;;;13;15,4;
Low-Productivity;East Asia and South-East Asia;9,2;10,8;13,5;13,5;8,3;8,3;8,1;4,3;10,4;7,2;11,5;7,2;;;14,3;17,1;
Low-Productivity;North America;9,3;7,6;0;0;8,2;8,2;3,9;1,8;9;5,65;11,5;7,2;;;14,5;16,8;
Low-Productivity;Latin America and the Caribbean;7,1;8,6;11,2;11,2;8,3;8,3;10;4,8;10,4;7,2;11,5;7,2;;;15,7;17,8;
Low-Productivity;Western Europe;7,5;5,7;7,7;7,7;8,2;8,2;5,3;2,4;9;5,65;11,5;7,2;;;12,3;16,1;
Low-Productivity;Eastern Europe;6,7;7,6;6,2;6,2;8,2;8,2;4,9;2;9;5,65;11,5;7,2;;;12,6;16;
Low-Productivity;Russian Federation;6,7;7,6;6,2;6,2;8,2;8,2;4,9;2;9;5,65;11,5;7,2;;;12,6;16;
Low-Productivity;Oceania;6;8,7;0;0;8,2;8,2;5,6;2,1;9;5,65;11,5;7,2;;;15,4;15,4;
Low-Productivity;NENA/Middle East;11,8;16,8;9,8;9,8;8,3;8,3;7,8;4,6;10,4;7,2;11,5;7,2;;;16,5;17,9;
Low-Productivity;South Asia;16,1;12;0;0;8,3;8,3;9,5;5,5;10,4;7,2;11,5;7,2;;;15,7;18,2;
Default;Sub-Saharan Africa;18,2;12;12,9;12,9;8,3;8,3;8,2;4,4;10,4;7,2;11,5;7,2;;;12,6;15,9;
Default;East Asia and South-East Asia;9;9,8;13,5;13,5;8,3;8,3;6,8;3,4;10,4;7,2;11,5;7,2;;;11,2;15,7;
Default;North America;9,3;7,6;0;0;8,2;8,2;3,9;1,8;9;5,65;11,5;7,2;;;14,5;16,8;
Default;Latin America and the Caribbean;7,9;8,5;11,2;11,2;8,3;8,3;6,4;2,7;10,4;7,2;11,5;7,2;;;13,5;15,6;
Default;Western Europe;7,5;5,7;7,7;7,7;8,2;8,2;5,3;2,4;9;5,65;11,5;7,2;;;12,3;16,1;
Default;Eastern Europe;6,7;7,6;6,2;6,2;8,2;8,2;4,9;2;9;5,65;11,5;7,2;;;12,6;16;
Default;Russian Federation;6,7;7,6;6,2;6,2;8,2;8,2;4,9;2;9;5,65;11,5;7,2;;;12,6;16;
Default;Oceania;6;8,7;0;0;8,2;8,2;5,6;2,1;9;5,65;11,5;7,2;;;15,4;18,3;
Default;NENA/Middle East;10,7;14,1;9,8;9,8;8,3;8,3;4,9;2,5;10,4;7,2;11,5;7,2;;;14,2;17,7;
Default;South Asia;14,1;12,2;0;0;8,3;8,3;8,6;4,6;10,4;7,2;11,5;7,2;;;14,9;17,7;
