climate;moisture;emission_type;livestock_category_type;livestock_production_type;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1Month;Poultry manure;Deep bedding;Composting;Aerobic treatment
Cool Temperate;Moist;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Cool Temperate;Dry;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Boreal;Moist;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Boreal;Dry;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Warm Temperate;Moist;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Warm Temperate;Dry;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Tropical;Montane;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Tropical;Wet;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Tropical;Moist;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Tropical;Dry;N2O Volatilization;Dairy Cattle;High-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Cool Temperate;Moist;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Cool Temperate;Dry;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Boreal;Moist;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Boreal;Dry;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Warm Temperate;Moist;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Warm Temperate;Dry;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Tropical;Montane;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Tropical;Wet;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Tropical;Moist;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Tropical;Dry;N2O Volatilization;Dairy Cattle;Low-Productivity;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
Cool Temperate;Moist;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Cool Temperate;Dry;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Boreal;Moist;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Boreal;Dry;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Warm Temperate;Moist;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Warm Temperate;Dry;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Tropical;Montane;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Tropical;Wet;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Tropical;Moist;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Tropical;Dry;N2O Volatilization;Other Cattle;High-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Cool Temperate;Moist;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Cool Temperate;Dry;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Boreal;Moist;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Boreal;Dry;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Warm Temperate;Moist;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Warm Temperate;Dry;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Tropical;Montane;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Tropical;Wet;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Tropical;Moist;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Tropical;Dry;N2O Volatilization;Other Cattle;Low-Productivity;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
Cool Temperate;Moist;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Cool Temperate;Dry;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Boreal;Moist;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Boreal;Dry;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Warm Temperate;Moist;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Warm Temperate;Dry;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Montane;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Wet;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Moist;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Dry;N2O Volatilization;Dairy Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Cool Temperate;Moist;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Cool Temperate;Dry;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Boreal;Moist;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Boreal;Dry;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Warm Temperate;Moist;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Warm Temperate;Dry;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Montane;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Wet;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Moist;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Dry;N2O Volatilization;Dairy Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Cool Temperate;Moist;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Cool Temperate;Dry;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Boreal;Moist;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Boreal;Dry;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Warm Temperate;Moist;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Warm Temperate;Dry;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Montane;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Wet;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Moist;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Dry;N2O Volatilization;Other Buffalo;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Cool Temperate;Moist;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Cool Temperate;Dry;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Boreal;Moist;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Boreal;Dry;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Warm Temperate;Moist;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Warm Temperate;Dry;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Montane;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Wet;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Moist;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Tropical;Dry;N2O Volatilization;Other Buffalo;Low-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
Cool Temperate;Moist;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Cool Temperate;Dry;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Boreal;Moist;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Boreal;Dry;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Warm Temperate;Moist;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Warm Temperate;Dry;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Montane;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Wet;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Moist;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Dry;N2O Volatilization;Growing Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Cool Temperate;Moist;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Cool Temperate;Dry;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Boreal;Moist;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Boreal;Dry;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Warm Temperate;Moist;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Warm Temperate;Dry;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Montane;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Wet;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Moist;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Dry;N2O Volatilization;Growing Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Cool Temperate;Moist;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Cool Temperate;Dry;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Boreal;Moist;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Boreal;Dry;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Warm Temperate;Moist;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Warm Temperate;Dry;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Montane;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Wet;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Moist;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Dry;N2O Volatilization;Breeding Swine;High-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Cool Temperate;Moist;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Cool Temperate;Dry;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Boreal;Moist;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Boreal;Dry;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Warm Temperate;Moist;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Warm Temperate;Dry;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Montane;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Wet;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Moist;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Tropical;Dry;N2O Volatilization;Breeding Swine;Low-Productivity;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
Cool Temperate;Moist;N2O Volatilization;Chicken Layer;High-Productivity;0,35;0,09;0,09;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,19;0,27
