climate;moisture;region;Agroforestry - default;Alley cropping;Perennial fallow;Hedgerow;Multistrata;Parkland;Shaded Perennial;Silvoarable;Silvopasture;Olive;Orchard;Vine;Short Rotation Coppice;Oil palm;Rubber;Tea
Cool Temperate;Dry;Eastern Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Central Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Northern Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Southern Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Western Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Central Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Eastern Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;South-eastern Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Southern Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Western Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Europe;1,386666667;;;0,87;;;;1,12;2,17;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Oceania;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;North America;0,81;;;0,87;;;;0,59;0,97;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;South America;1,056666667;;;0,87;;;;1,12;1,18;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Central America;1,056666667;;;0,87;;;;1,12;1,18;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Dry;Caribbean;1,056666667;;;0,87;;;;1,12;1,18;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Eastern Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Central Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Northern Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Southern Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Western Africa;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Central Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Eastern Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;South-eastern Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Southern Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Western Asia;1,883333333;;;0,87;;;;2,97;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Europe;1,386666667;;;0,87;;;;1,12;2,17;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Oceania;1,266666667;;;0,87;;;;1,12;1,81;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;North America;0,81;;;0,87;;;;0,59;0,97;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;South America;1,056666667;;;0,87;;;;1,12;1,18;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Central America;1,056666667;;;0,87;;;;1,12;1,18;0,46;0,43;0,28;3,2;;;0,7
Cool Temperate;Moist;Caribbean;1,056666667;;;0,87;;;;1,12;1,18;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Eastern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Central Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Northern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Southern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Western Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Central Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Eastern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;South-eastern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Southern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Western Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Europe;1,5;;;0,87;;;;0,52;3,11;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Oceania;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;North America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;South America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Central America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Dry;Caribbean;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Eastern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Central Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Northern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Southern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Western Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Central Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Eastern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;South-eastern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Southern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Western Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Europe;1,5;;;0,87;;;;0,52;3,11;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Oceania;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;North America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;South America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Central America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Warm Temperate;Moist;Caribbean;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Tropical;Dry;Eastern Africa;2,7375;1,88;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Central Africa;2,7375;1,88;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Northern Africa;2,7375;1,88;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Southern Africa;2,7375;1,88;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Western Africa;2,7375;1,88;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Central Asia;2,85125;2,79;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Eastern Asia;2,85125;2,79;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;South-eastern Asia;2,85125;2,79;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0
Tropical;Dry;Southern Asia;2,85125;2,79;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Western Asia;2,85125;2,79;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Europe;2,78625;2,27;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Oceania;2,78625;2,27;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;North America;2,78625;2,27;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;South America;2,78625;2,27;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Central America;2,78625;2,27;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Dry;Caribbean;2,78625;2,27;5,61;0,48;1,63;0,59;2,4;6,24;3,07;;;;;2,4;3;0,7
Tropical;Moist;Eastern Africa;2,73875;2,75;5,3;0,47;2,98;0,59;1,82;5,09;2,91;;;;;2,4;3;0,7
Tropical;Moist;Central Africa;2,73875;2,75;5,3;0,47;2,98;0,59;1,82;5,09;2,91;;;;;2,4;3;0,7
Tropical;Moist;Northern Africa;2,73875;2,75;5,3;0,47;2,98;0,59;1,82;5,09;2,91;;;;;2,4;3;0,7
Tropical;Moist;Southern Africa;2,73875;2,75;5,3;0,47;2,98;0,59;1,82;5,09;2,91;;;;;2,4;3;0,7
Tropical;Moist;Western Africa;2,73875;2,75;5,3;0,47;2,98;0,59;1,82;5,09;2,91;;;;;2,4;3;0,7
Tropical;Moist;Central Asia;2,3075;2,59;5,3;0,47;3,03;0,59;2,07;1,5;2,91;;;;;2,4;3;0,7
Tropical;Moist;Eastern Asia;2,3075;2,59;5,3;0,47;3,03;0,59;2,07;1,5;2,91;;;;;2,4;3;0,7
Tropical;Moist;South-eastern Asia;2,3075;2,59;5,3;0,47;3,03;0,59;2,07;1,5;2,91;;;;;2,4;3;0,7
Tropical;Moist;Southern Asia;2,3075;2,59;5,3;0,47;3,03;0,59;2,07;1,5;2,91;;;;;2,4;3;0,7
Tropical;Moist;Western Asia;2,3075;2,59;5,3;0,47;3,03;0,59;2,07;1,5;2,91;;;;;2,4;3;0,7
Tropical;Moist;Europe;2,4925;2,59;5,3;0,47;3,02;0,59;2,43;2,63;2,91;;;;;2,4;3;0,7
Tropical;Moist;Oceania;2,4925;2,59;5,3;0,47;3,02;0,59;2,43;2,63;2,91;;;;;2,4;3;0,7
Tropical;Moist;North America;2,4925;2,59;5,3;0,47;3,02;0,59;2,43;2,63;2,91;;;;;2,4;3;0,7
Tropical;Moist;South America;2,57125;2,59;5,3;0,47;3,02;0,59;3,06;2,63;2,91;;;;;2,4;3;0,7
