climate;moisture;region;Agroforestry - default;Alley cropping;Perennial fallow;Hedgerow;Multistrata;Parkland;Shaded Perennial;Silvoarable;Silvopasture;Olive;Orchard;Vine;Short Rotation Coppice;Oil palm;Rubber;Tea
Cool Temperate;Dry;Eastern Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Central Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Northern Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Southern Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Western Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Central Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Eastern Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;South-eastern Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Southern Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Western Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;Europe;0,356666667;;;0,23;;;;0,28;0,56;0;0;0;0;0;0;0
Cool Temperate;Dry;Oceania;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Dry;North America;0,16;;;0,23;;;;0,14;0,11;0;0;0;0;0;0;0
Cool Temperate;Dry;South America;0,343333333;;;0,23;;;;0,28;0,52;0;0;0;0;0;0;0
Cool Temperate;Dry;Central America;0,343333333;;;0,23;;;;0,28;0,52;0;0;0;0;0;0;0
Cool Temperate;Dry;Caribbean;0,343333333;;;0,23;;;;0,28;0,52;0;0;0;0;0;0;0
Cool Temperate;Moist;Eastern Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Central Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Northern Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Southern Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Western Africa;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Central Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Eastern Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;South-eastern Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Southern Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Western Asia;0,493333333;;;0,23;;;;0,77;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;Europe;0,356666667;;;0,23;;;;0,28;0,56;0;0;0;0;0;0;0
Cool Temperate;Moist;Oceania;0,33;;;0,23;;;;0,28;0,48;0;0;0;0;0;0;0
Cool Temperate;Moist;North America;0,16;;;0,23;;;;0,14;0,11;0;0;0;0;0;0;0
Cool Temperate;Moist;South America;0,343333333;;;0,23;;;;0,28;0,52;0;0;0;0;0;0;0
Cool Temperate;Moist;Central America;0,343333333;;;0,23;;;;0,28;0,52;0;0;0;0;0;0;0
Cool Temperate;Moist;Caribbean;0,343333333;;;0,23;;;;0,28;0,52;0;0;0;0;0;0;0
Warm Temperate;Dry;Eastern Africa;0,386666667;;;0,23;;;;0,23;0,7;0;0;0;0;0;0;0
Warm Temperate;Dry;Central Africa;0,386666667;;;0,23;;;;0,23;0,7;0;0;0;0;0;0;0
Warm Temperate;Dry;Northern Africa;0,386666667;;;0,23;;;;0,23;0,7;0;0;0;0;0;0;0
Warm Temperate;Dry;Southern Africa;0,386666667;;;0,23;;;;0,23;0,7;0;0;0;0;0;0;0
Warm Temperate;Dry;Western Africa;0,386666667;;;0,23;;;;0,23;0,7;0;0;0;0;0;0;0
Warm Temperate;Dry;Central Asia;0,386666667;;;0,23;;;;0,23;0,7;0;0;0;0;0;0;0
Warm Temperate;Dry;Eastern Asia;0,386666667;;;0,23;;;;0,23;0,7;0;0;0;0;0;0;0
