climate;moisture;soil_type;unit;Tidal Marsh;Seagrass;Mangrove
Boreal;Dry;Mineral;tC/ha/yr;-0,91;-0,43;0
Boreal;Moist;Mineral;tC/ha/yr;-0,91;-0,43;0
Cool Temperate;Dry;Mineral;tC/ha/yr;-0,91;-0,43;0
Cool Temperate;Moist;Mineral;tC/ha/yr;-0,91;-0,43;0
Warm Temperate;Dry;Mineral;tC/ha/yr;-0,91;-0,43;-1,62
Warm Temperate;Moist;Mineral;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Dry;Mineral;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Moist;Mineral;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Wet;Mineral;tC/ha/yr;-0,91;-0,43;-1,62
Tropical Montane;Dry;Mineral;tC/ha/yr;-0,91;-0,43;-1,62
Boreal;Dry;Organic;tC/ha/yr;-0,91;-0,43;0
Boreal;Moist;Organic;tC/ha/yr;-0,91;-0,43;0
Cool Temperate;Dry;Organic;tC/ha/yr;-0,91;-0,43;0
Cool Temperate;Moist;Organic;tC/ha/yr;-0,91;-0,43;0
Warm Temperate;Dry;Organic;tC/ha/yr;-0,91;-0,43;-1,62
Warm Temperate;Moist;Organic;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Dry;Organic;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Moist;Organic;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Wet;Organic;tC/ha/yr;-0,91;-0,43;-1,62
Tropical Montane;Dry;Organic;tC/ha/yr;-0,91;-0,43;-1,62
Boreal;Dry;Aggregated;tC/ha/yr;-0,91;-0,43;0
Boreal;Moist;Aggregated;tC/ha/yr;-0,91;-0,43;0
Cool Temperate;Dry;Aggregated;tC/ha/yr;-0,91;-0,43;0
Cool Temperate;Moist;Aggregated;tC/ha/yr;-0,91;-0,43;0
Warm Temperate;Dry;Aggregated;tC/ha/yr;-0,91;-0,43;-1,62
Warm Temperate;Moist;Aggregated;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Dry;Aggregated;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Moist;Aggregated;tC/ha/yr;-0,91;-0,43;-1,62
Tropical;Wet;Aggregated;tC/ha/yr;-0,91;-0,43;-1,62
Tropical Montane;Dry;Aggregated;tC/ha/yr;-0,91;-0,43;-1,62
