settlement_type;climate;moisture;fmg;flu;fi;biomass
Infrastructure on existing land (no paving);All;All;1;1;1;0
Paved settlement;All;All;1;0,8;1;0
Turfgrass;Boreal;All;1,14;1;1;0
Turfgrass;Temperate;All;1,14;1;1;0
Turfgrass;Tropical;All;1,17;1;1;0
Turfgrass;Tropical Montane;All;1,16;1;1;0
Wooded area;All;All;1;1;1;0
Cultivated soil;Boreal;Dry;1,03;0,77;1;0
Cultivated soil;Boreal;Moist;1,09;0,7;1;0
Cultivated soil;Cool Temperate;Dry;1,03;0,77;1;0
Cultivated soil;Cool Temperate;Moist;1,09;0,7;1;0
Cultivated soil;Warm Temperate;Dry;1,04;0,76;1;0
Cultivated soil;Warm Temperate;Moist;1,1;0,69;1;0
Cultivated soil;Tropical;Dry;1,04;0,92;1;0
Cultivated soil;Tropical;Moist;1,1;0,83;1;0
Cultivated soil;Tropical;Wet;1,1;0,83;1;0
