Year,Min,Max
2017,37.0,75.0
2018,38.0,77.0
2019,39.0,78.0
2020,40.0,80.0
2021,41.0,82.0
2022,42.0,84.0
2023,43.0,86.0
2024,44.0,87.0
2025,45.0,89.0
2026,46.0,91.0
2027,47.0,94.0
2028,48.0,96.0
2029,49.0,98.0
2030,50.0,100.0
2031,51.0,102.0
2032,52.0,105.0
2033,53.0,107.0
2034,55.0,109.0
2035,56.0,112.0
2036,57.0,114.0
2037,58.0,117.0
2038,60.0,120.0
2039,61.0,122.0
2040,63.0,125.0
2041,64.0,128.0
2042,65.0,131.0
2043,67.0,134.0
2044,68.0,137.0
2045,70.0,140.0
2046,71.0,143.0
2047,73.0,146.0
2048,75.0,149.0
2049,76.0,153.0
2050,78.0,156.0
