climate;moisture;region;Annual cropland;Set Aside;Flooded rice;Grassland;Other Land (Non-Vegetated);Settlement;Agroforestry - default;Alley cropping;Perennial fallow;Hedgerow;Multistrata;Parkland;Shaded Perennial;Silvoarable;Silvopasture;Other Land;Olive;Orchard;Short Rotation Coppice;Tea;Vine;Oil palm;Rubber
Cool Temperate;Dry;Eastern Africa;4,7;4,7;4,7;3,055;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Central Africa;4,7;4,7;4,7;3,055;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Northern Africa;4,7;4,7;4,7;3,055;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Southern Africa;4,7;4,7;4,7;3,055;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Western Africa;4,7;4,7;4,7;3,055;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Central Asia;4,7;4,7;4,7;3,055;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Eastern Asia;4,7;4,7;4,7;3,055;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;South-eastern Asia;4,7;4,7;4,7;3,055;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Southern Asia;4,7;4,7;4,7;3,055;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Western Asia;4,7;4,7;4,7;3,055;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Europe;4,7;4,7;4,7;3,055;0;0;1,743333333;;;1,1;;;;1,4;2,73;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Oceania;4,7;4,7;4,7;3,055;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;North America;4,7;4,7;4,7;3,055;0;0;0,97;;;1,1;;;;0,73;1,08;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;South America;4,7;4,7;4,7;3,055;0;0;1,4;;;1,1;;;;1,4;1,7;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Central America;4,7;4,7;4,7;3,055;0;0;1,4;;;1,1;;;;1,4;1,7;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Dry;Caribbean;4,7;4,7;4,7;3,055;0;0;1,4;;;1,1;;;;1,4;1,7;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Eastern Africa;4,7;4,7;4,7;6,392;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Central Africa;4,7;4,7;4,7;6,392;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Northern Africa;4,7;4,7;4,7;6,392;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Southern Africa;4,7;4,7;4,7;6,392;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Western Africa;4,7;4,7;4,7;6,392;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Central Asia;4,7;4,7;4,7;6,392;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Eastern Asia;4,7;4,7;4,7;6,392;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;South-eastern Asia;4,7;4,7;4,7;6,392;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Southern Asia;4,7;4,7;4,7;6,392;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Western Asia;4,7;4,7;4,7;6,392;0;0;2,376666667;;;1,1;;;;3,74;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Europe;4,7;4,7;4,7;6,392;0;0;1,743333333;;;1,1;;;;1,4;2,73;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Oceania;4,7;4,7;4,7;6,392;0;0;1,596666667;;;1,1;;;;1,4;2,29;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;North America;4,7;4,7;4,7;6,392;0;0;0,97;;;1,1;;;;0,73;1,08;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;South America;4,7;4,7;4,7;6,392;0;0;1,4;;;1,1;;;;1,4;1,7;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Central America;4,7;4,7;4,7;6,392;0;0;1,4;;;1,1;;;;1,4;1,7;0;0,46;0,43;3,2;0,7;0,28;0;0
Cool Temperate;Moist;Caribbean;4,7;4,7;4,7;6,392;0;0;1,4;;;1,1;;;;1,4;1,7;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Eastern Africa;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Central Africa;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Northern Africa;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Southern Africa;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Western Africa;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Central Asia;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Eastern Asia;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;South-eastern Asia;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Southern Asia;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Western Asia;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Europe;4,7;4,7;4,7;2,867;0;0;1,966666667;;;1,1;;;;0,66;4,14;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Oceania;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;North America;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;South America;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Central America;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Dry;Caribbean;4,7;4,7;4,7;2,867;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Eastern Africa;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Central Africa;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Northern Africa;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Southern Africa;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Western Africa;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Central Asia;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Eastern Asia;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;South-eastern Asia;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Southern Asia;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Western Asia;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Europe;4,7;4,7;4,7;6,345;0;0;1,966666667;;;1,1;;;;0,66;4,14;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Oceania;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;North America;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;South America;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Central America;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Warm Temperate;Moist;Caribbean;4,7;4,7;4,7;6,345;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Tropical;Dry;Eastern Africa;4,7;4,7;4,7;4,089;0;0;3,58625;2,33;8,15;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Central Africa;4,7;4,7;4,7;4,089;0;0;3,58625;2,33;8,15;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Northern Africa;4,7;4,7;4,7;4,089;0;0;3,58625;2,33;8,15;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Southern Africa;4,7;4,7;4,7;4,089;0;0;3,58625;2,33;8,15;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Western Africa;4,7;4,7;4,7;4,089;0;0;3,58625;2,33;8,15;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Central Asia;4,7;4,7;4,7;4,089;0;0;3,47625;3,46;6,14;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Eastern Asia;4,7;4,7;4,7;4,089;0;0;3,47625;3,46;6,14;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;South-eastern Asia;4,7;4,7;4,7;4,089;0;0;3,47625;3,46;6,14;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0;0;2,4;3
Tropical;Dry;Southern Asia;4,7;4,7;4,7;4,089;0;0;3,47625;3,46;6,14;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Western Asia;4,7;4,7;4,7;4,089;0;0;3,47625;3,46;6,14;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Europe;4,7;4,7;4,7;4,089;0;0;3,5725;2,81;7,56;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Oceania;4,7;4,7;4,7;4,089;0;0;3,5725;2,81;7,56;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;North America;4,7;4,7;4,7;4,089;0;0;3,5725;2,81;7,56;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;South America;4,7;4,7;4,7;4,089;0;0;3,5725;2,81;7,56;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Central America;4,7;4,7;4,7;4,089;0;0;3,5725;2,81;7,56;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Dry;Caribbean;4,7;4,7;4,7;4,089;0;0;3,5725;2,81;7,56;0,6;2,09;0,8;2,95;7,86;3,91;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Eastern Africa;4,7;4,7;4,7;7,567;0;0;3,4075;3,34;6,57;0,58;3,7;0,8;2,26;6,31;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Central Africa;4,7;4,7;4,7;7,567;0;0;3,4075;3,34;6,57;0,58;3,7;0,8;2,26;6,31;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Northern Africa;4,7;4,7;4,7;7,567;0;0;3,4075;3,34;6,57;0,58;3,7;0,8;2,26;6,31;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Southern Africa;4,7;4,7;4,7;7,567;0;0;3,4075;3,34;6,57;0,58;3,7;0,8;2,26;6,31;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Western Africa;4,7;4,7;4,7;7,567;0;0;3,4075;3,34;6,57;0,58;3,7;0,8;2,26;6,31;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Central Asia;4,7;4,7;4,7;7,567;0;0;2,875;3,17;6,57;0,58;3,76;0,8;2,57;1,85;3,7;0;0;0;0;0,7;0;2,4;3
