refrigerant_type,gwp,value
HCFC-22 (R22),IPCC Second Assessment Report (SAR),1500.0
HFC-23,IPCC Second Assessment Report (SAR),11700.0
HFC-32,IPCC Second Assessment Report (SAR),650.0
HFC-125,IPCC Second Assessment Report (SAR),2800.0
HFC-134a,IPCC Second Assessment Report (SAR),1300.0
HFC-143a,IPCC Second Assessment Report (SAR),3800.0
HFC-152a,IPCC Second Assessment Report (SAR),140.0
HFC-227ea,IPCC Second Assessment Report (SAR),2900.0
HFC-236fa,IPCC Second Assessment Report (SAR),6300.0
HFC-245fa,IPCC Second Assessment Report (SAR),
HFC-365mfc,IPCC Second Assessment Report (SAR),
HFC-43-10mee,IPCC Second Assessment Report (SAR),1300.0
HFO-1234yf,IPCC Second Assessment Report (SAR),
HFO-1234ze(E),IPCC Second Assessment Report (SAR),
HFO-1336mzz(Z),IPCC Second Assessment Report (SAR),
HFO-1336mzz(E),IPCC Second Assessment Report (SAR),
HCFO-1233zd(E),IPCC Second Assessment Report (SAR),
HCFO-1224yd(Z),IPCC Second Assessment Report (SAR),
HCFC-22 (R22),IPCC Fourth Assessment Report (AR4),1810.0
HFC-23,IPCC Fourth Assessment Report (AR4),14800.0
HFC-32,IPCC Fourth Assessment Report (AR4),675.0
HFC-125,IPCC Fourth Assessment Report (AR4),3500.0
HFC-134a,IPCC Fourth Assessment Report (AR4),1430.0
HFC-143a,IPCC Fourth Assessment Report (AR4),4470.0
HFC-152a,IPCC Fourth Assessment Report (AR4),124.0
HFC-227ea,IPCC Fourth Assessment Report (AR4),3220.0
HFC-236fa,IPCC Fourth Assessment Report (AR4),9810.0
HFC-245fa,IPCC Fourth Assessment Report (AR4),1030.0
HFC-365mfc,IPCC Fourth Assessment Report (AR4),794.0
HFC-43-10mee,IPCC Fourth Assessment Report (AR4),1640.0
HFO-1234yf,IPCC Fourth Assessment Report (AR4),4.0
HFO-1234ze(E),IPCC Fourth Assessment Report (AR4),7.0
HFO-1336mzz(Z),IPCC Fourth Assessment Report (AR4),9.0
HFO-1336mzz(E),IPCC Fourth Assessment Report (AR4),
HCFO-1233zd(E),IPCC Fourth Assessment Report (AR4),4.5
HCFO-1224yd(Z),IPCC Fourth Assessment Report (AR4),
HCFC-22 (R22),IPCC Fifth Assessment Report (AR5) without Climate Change Feedback,1760.0
HFC-23,IPCC Fifth Assessment Report (AR5) without Climate Change Feedback,12400.0
HFC-32,IPCC Fifth Assessment Report (AR5) without Climate Change Feedback,677.0
HFC-125,IPCC Fifth Assessment Report (AR5) without Climate Change Feedback,3170.0
